"","old.salaries","new.salaries","raise","got.raise"
"Employee  74",17383.4244604222,15628.8353609852,-1754.589099437,FALSE
"Employee  75",13078.7874618545,24094.8787983507,11016.0913364962,TRUE
"Employee  76",17312.8224187531,17970.0723802671,657.249961514026,TRUE
"Employee  77",16320.1429741457,24375.0130850822,8054.87011093646,TRUE
"Employee  78",12660.9612978064,18083.364944905,5422.40364709869,TRUE
"Employee  79",16451.3888978399,17489.6180420183,1038.22914417833,TRUE
"Employee  80",12403.5233422183,19615.8520854078,7212.32874318957,TRUE
"Employee  81",12096.5878735296,15743.3288125321,3646.74093900248,TRUE
"Employee  82",15486.9881132618,20543.8130139373,5056.82490067557,TRUE
"Employee  83",14882.0009967312,23240.3418817557,8358.34088502452,TRUE
"Employee  84",13792.0558638871,21397.6388121955,7605.58294830844,TRUE
"Employee  85",16647.3691957071,17814.0552015975,1166.68600589037,TRUE
"Employee  86",19107.7307634987,20729.0110038593,1621.28024036065,TRUE
"Employee  87",16532.4744279496,24805.0679382868,8272.59351033717,TRUE
"Employee  88",12054.9767953344,21784.6608394757,9729.68404414132,TRUE
"Employee  89",17752.7652378194,18455.4833895527,702.718151733279,TRUE
"Employee  90",18368.1532018818,19549.7056329623,1181.55243108049,TRUE
"Employee  91",10970.6459171139,22770.0437838212,11799.3978667073,TRUE
"Employee  92",18247.1370906569,17723.7435616553,-523.393529001623,FALSE
"Employee  93",17533.8407885283,20364.7013218142,2830.86053328589,TRUE
"Employee  94",12641.9447385706,20205.8200584725,7563.87531990185,TRUE
"Employee  95",10034.6261402592,18522.391191218,8487.76505095884,TRUE
"Employee  96",10844.6999569423,18942.111292854,8097.4113359116,TRUE
"Employee  97",12272.5726012141,15749.5061843656,3476.93358315155,TRUE
"Employee  98",11610.1427935064,18581.1988404021,6971.05604689568,TRUE
"Employee  99",11056.9187276997,24464.2879348248,13407.3692071252,TRUE
"Employee  100",19956.7982647568,23798.2675828971,3841.4693181403,TRUE
