"","old.salaries","new.salaries","raise","got.raise"
"Employee  84",10928.5174915567,16406.0634025373,5477.54591098055,TRUE
"Employee  85",17173.5368506052,23974.1721958853,6800.63534528017,TRUE
"Employee  86",15431.5356654115,17028.2800775021,1596.74441209063,TRUE
"Employee  87",10476.037801709,19220.8513850346,8744.81358332559,TRUE
"Employee  88",15862.92659631,22339.7839674726,6476.85737116262,TRUE
"Employee  89",14144.1961959936,22639.0363974497,8494.8402014561,TRUE
"Employee  90",13673.1778178364,21139.5580694079,7466.38025157154,TRUE
"Employee  91",17314.8568533361,20268.3355845511,2953.478731215,TRUE
"Employee  92",18290.6822767109,20079.8264984041,1789.14422169328,TRUE
"Employee  93",16449.3037760258,18336.3306662068,1887.02689018101,TRUE
"Employee  94",16164.8999387398,19420.5962936394,3255.69635489956,TRUE
"Employee  95",16031.6081950441,23196.6026383452,7164.99444330111,TRUE
"Employee  96",13125.5948147736,17121.3754313067,3995.78061653301,TRUE
"Employee  97",19090.5168978497,16035.3372828104,-3055.17961503938,FALSE
"Employee  98",14539.1377666965,18011.9625944644,3472.82482776791,TRUE
"Employee  99",19878.3967015333,15699.8622533865,-4178.53444814682,FALSE
"Employee  100",17396.611708682,22625.2407813445,5228.62907266244,TRUE
